Deal_ID,Customer_ID,Month,SKU_ID,Sales_Rep_ID,Sales_Rep_Name,Sales_Team,Sales_Motion,Lead_Source,Deal_Type,Booking_Amount_USD,ARR_Booked_USD,Discount_Pct,List_Price_ARR_USD,Plan_Type,Commit_Type,Usage_Commit_Units
D_C0111,C0111,2021-10-01,SKU1,ER18,Rep_ER18,Enterprise,High-touch AE,Inbound,New,289391.8,289391.8,6.71,310217.0,Enterprise,Subscription,12835
D_C0112,C0112,2022-04-01,SKU1,ER04,Rep_ER04,Enterprise,High-touch AE,Inbound,New,247949.03,247949.03,15.85,294652.47,Pro,Usage commit,3837
D_C0113,C0113,2022-10-01,SKU1,ER06,Rep_ER06,Enterprise,High-touch AE,Outbound,New,243180.21,243180.21,10.5,271722.83,Pro,Subscription,2345
D_C0114,C0114,2021-05-01,SKU1,ER01,Rep_ER01,Enterprise,High-touch AE,Partner,New,240541.41,240541.41,10.87,269888.58,Enterprise,Usage commit,14109
D_C0115,C0115,2021-02-01,SKU1,ER06,Rep_ER06,Enterprise,High-touch AE,Inbound,New,135361.58,135361.58,15.01,159272.25,Enterprise,Usage commit,8413
D_C0116,C0116,2021-11-01,SKU1,ER06,Rep_ER06,Enterprise,High-touch AE,Outbound,New,188588.36,188588.36,17.11,227523.39,Pro,Usage commit,14224
D_C0117,C0117,2021-04-01,SKU1,ER15,Rep_ER15,Enterprise,High-touch AE,Inbound,New,228334.85,228334.85,17.3,276088.47,Enterprise,Subscription,3616
D_C0118,C0118,2021-06-01,SKU1,ER13,Rep_ER13,Enterprise,High-touch AE,Outbound,New,301272.05,301272.05,10.82,337813.8,Enterprise,Usage commit,10766
D_C0119,C0119,2023-08-01,SKU1,ER12,Rep_ER12,Enterprise,High-touch AE,Inbound,New,199239.96,199239.96,7.39,215138.45,Enterprise,Hybrid,5637
D_C0120,C0120,2021-12-01,SKU1,ER09,Rep_ER09,Enterprise,High-touch AE,Outbound,New,189592.73,189592.73,7.74,205496.27,Pro,Subscription,10352
D_C0121,C0121,2021-07-01,SKU1,ER05,Rep_ER05,Enterprise,High-touch AE,Partner,New,231592.27,231592.27,15.73,274811.88,Pro,Hybrid,7571
D_C0122,C0122,2023-02-01,SKU1,ER05,Rep_ER05,Enterprise,High-touch AE,Partner,New,223081.03,223081.03,11.57,252263.03,Enterprise,Subscription,4329
D_C0123,C0123,2021-04-01,SKU1,ER10,Rep_ER10,Enterprise,High-touch AE,Outbound,New,246715.98,246715.98,15.93,293475.77,Enterprise,Subscription,5793
D_C0124,C0124,2023-01-01,SKU1,ER19,Rep_ER19,Enterprise,High-touch AE,Partner,New,227670.63,227670.63,13.65,263653.68,Pro,Hybrid,3463
D_C0125,C0125,2022-03-01,SKU1,ER17,Rep_ER17,Enterprise,High-touch AE,Inbound,New,270015.37,270015.37,7.9,293173.2,Pro,Usage commit,8157
D_C0126,C0126,2022-07-01,SKU1,ER02,Rep_ER02,Enterprise,High-touch AE,Partner,New,255901.15,255901.15,5.77,271583.76,Enterprise,Subscription,12690
D_C0127,C0127,2021-05-01,SKU1,ER18,Rep_ER18,Enterprise,High-touch AE,Inbound,New,192031.18,192031.18,7.59,207810.61,Pro,Hybrid,11700
D_C0128,C0128,2021-06-01,SKU1,ER14,Rep_ER14,Enterprise,High-touch AE,Inbound,New,302460.71,302460.71,6.25,322641.38,Pro,Hybrid,10592
D_C0129,C0129,2022-09-01,SKU1,ER17,Rep_ER17,Enterprise,High-touch AE,Inbound,New,124041.9,124041.9,12.01,140975.74,Enterprise,Hybrid,7819
D_C0130,C0130,2021-02-01,SKU1,ER10,Rep_ER10,Enterprise,High-touch AE,Outbound,New,206590.07,206590.07,14.78,242428.74,Enterprise,Subscription,7116
D_C0131,C0131,2021-08-01,SKU1,ER05,Rep_ER05,Enterprise,High-touch AE,Partner,New,110232.79,110232.79,13.98,128152.7,Pro,Subscription,6656
D_C0132,C0132,2022-05-01,SKU1,ER15,Rep_ER15,Enterprise,High-touch AE,Partner,New,171260.37,171260.37,5.93,182049.56,Enterprise,Subscription,7037
D_C0133,C0133,2021-07-01,SKU1,ER11,Rep_ER11,Enterprise,High-touch AE,Outbound,New,313158.69,313158.69,6.16,333721.54,Enterprise,Subscription,4406
D_C0134,C0134,2021-12-01,SKU1,ER02,Rep_ER02,Enterprise,High-touch AE,Outbound,New,191148.69,191148.69,6.98,205484.63,Enterprise,Subscription,3188
D_C0135,C0135,2023-09-01,SKU1,ER16,Rep_ER16,Enterprise,High-touch AE,Inbound,New,110616.28,110616.28,11.98,125668.97,Enterprise,Hybrid,10927
D_C0136,C0136,2023-09-01,SKU1,ER17,Rep_ER17,Enterprise,High-touch AE,Partner,New,274299.98,274299.98,8.59,300060.22,Enterprise,Usage commit,2363
D_C0137,C0137,2022-06-01,SKU1,ER13,Rep_ER13,Enterprise,High-touch AE,Partner,New,212004.33,212004.33,6.54,226835.87,Pro,Hybrid,7302
D_C0138,C0138,2022-05-01,SKU1,ER11,Rep_ER11,Enterprise,High-touch AE,Outbound,New,313220.58,313220.58,10.25,348982.53,Pro,Subscription,5810
D_C0139,C0139,2021-01-01,SKU1,ER11,Rep_ER11,Enterprise,High-touch AE,Partner,New,310907.87,310907.87,11.73,352229.74,Enterprise,Subscription,7805
D_C0140,C0140,2023-12-01,SKU1,ER13,Rep_ER13,Enterprise,High-touch AE,Inbound,New,117650.72,117650.72,15.38,139040.6,Enterprise,Usage commit,6097
D_C0141,C0141,2022-06-01,SKU1,ER02,Rep_ER02,Enterprise,High-touch AE,Inbound,New,212380.77,212380.77,15.12,250215.75,Pro,Hybrid,11452
D_C0142,C0142,2023-04-01,SKU1,ER14,Rep_ER14,Enterprise,High-touch AE,Outbound,New,144723.61,144723.61,6.36,154549.38,Pro,Usage commit,12273
D_C0143,C0143,2022-06-01,SKU1,ER03,Rep_ER03,Enterprise,High-touch AE,Outbound,New,156062.42,156062.42,9.89,173183.63,Pro,Hybrid,11712
D_C0144,C0144,2023-07-01,SKU1,ER14,Rep_ER14,Enterprise,High-touch AE,Partner,New,258605.08,258605.08,16.95,311396.49,Pro,Subscription,12549
D_C0145,C0145,2022-07-01,SKU1,ER13,Rep_ER13,Enterprise,High-touch AE,Partner,New,206330.07,206330.07,13.84,239484.7,Enterprise,Subscription,10222
D_C0146,C0146,2022-12-01,SKU1,ER08,Rep_ER08,Enterprise,High-touch AE,Outbound,New,206739.27,206739.27,8.05,224836.13,Enterprise,Subscription,9076
D_C0147,C0147,2021-05-01,SKU1,ER17,Rep_ER17,Enterprise,High-touch AE,Partner,New,234226.89,234226.89,12.41,267398.69,Enterprise,Usage commit,5936
D_C0148,C0148,2022-02-01,SKU1,ER13,Rep_ER13,Enterprise,High-touch AE,Inbound,New,316678.82,316678.82,12.16,360507.02,Enterprise,Subscription,6454
D_C0149,C0149,2022-11-01,SKU1,ER18,Rep_ER18,Enterprise,High-touch AE,Inbound,New,263555.51,263555.51,8.44,287838.38,Enterprise,Usage commit,14118
D_C0150,C0150,2021-04-01,SKU1,ER19,Rep_ER19,Enterprise,High-touch AE,Inbound,New,143436.74,143436.74,15.86,170464.09,Enterprise,Usage commit,2155
D_C0151,C0151,2022-02-01,SKU1,ER13,Rep_ER13,Enterprise,High-touch AE,Inbound,New,216218.81,216218.81,10.35,241175.95,Enterprise,Subscription,4882
D_C0152,C0152,2021-06-01,SKU1,ER15,Rep_ER15,Enterprise,High-touch AE,Inbound,New,242575.71,242575.71,12.03,275749.53,Pro,Hybrid,2311
D_C0153,C0153,2022-04-01,SKU1,ER13,Rep_ER13,Enterprise,High-touch AE,Inbound,New,255685.04,255685.04,17.43,309654.55,Enterprise,Hybrid,7042
D_C0154,C0154,2023-05-01,SKU1,ER10,Rep_ER10,Enterprise,High-touch AE,Inbound,New,198612.63,198612.63,5.92,211103.58,Enterprise,Subscription,14413
D_C0155,C0155,2021-03-01,SKU1,ER16,Rep_ER16,Enterprise,High-touch AE,Outbound,New,151459.12,151459.12,13.02,174132.5,Enterprise,Subscription,6657
D_C0156,C0156,2023-04-01,SKU1,ER11,Rep_ER11,Enterprise,High-touch AE,Partner,New,133636.13,133636.13,12.22,152231.88,Enterprise,Usage commit,13874
D_C0157,C0157,2022-06-01,SKU1,ER19,Rep_ER19,Enterprise,High-touch AE,Partner,New,200692.58,200692.58,13.66,232454.05,Pro,Hybrid,12718
D_C0158,C0158,2022-07-01,SKU1,ER15,Rep_ER15,Enterprise,High-touch AE,Inbound,New,276452.81,276452.81,16.74,332028.51,Pro,Hybrid,4576
